iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
18,33.191616,44.56010818481445,3.690931558609009,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
19,31.2503,42.73322296142578,3.520541191101074,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
20,29.453886,40.9094352722168,3.349435806274414,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
21,27.817614,39.26506423950195,3.2024755477905273,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
22,26.275915,37.65471649169922,3.0583860874176025,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
23,24.786463,36.12617492675781,2.9207394123077393,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
24,23.425255,34.74264907836914,2.792879104614258,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
25,22.149675,33.41460037231445,2.6733434200286865,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
26,20.994225,32.165855407714844,2.5584137439727783,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
27,19.834951,30.909700393676758,2.4397225379943848,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
28,18.761295,29.6840763092041,2.3260719776153564,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
29,17.789145,28.59693145751953,2.2303121089935303,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
30,16.849876,27.611719131469727,2.147099733352661,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
31,15.964795,26.657133102416992,2.0667929649353027,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
32,15.175563,25.75825309753418,1.9853174686431885,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
33,14.417305,24.897294998168945,1.9136916399002075,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
34,13.7183075,24.08405303955078,1.8451862335205078,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
35,13.031218,23.260906219482422,1.7726908922195435,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
36,12.380723,22.48977279663086,1.7057313919067383,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
37,11.770144,21.80147361755371,1.6492301225662231,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
38,11.22879,21.18744468688965,1.5994340181350708,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
39,10.721751,20.526185989379883,1.5461094379425049,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
40,10.223431,19.953216552734375,1.4999459981918335,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
41,9.749348,19.383203506469727,1.4598197937011719,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
42,9.31497,18.8051700592041,1.4127483367919922,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
43,8.90489,18.297452926635742,1.3774135112762451,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
44,8.510475,17.781614303588867,1.3345580101013184,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
45,8.146076,17.258129119873047,1.2876356840133667,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
46,7.8007064,16.858732223510742,1.2621268033981323,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
47,7.459782,16.400238037109375,1.2302192449569702,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
48,7.1483774,16.038616180419922,1.204662561416626,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
49,6.8480625,15.645864486694336,1.176153540611267,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
50,6.549875,15.282264709472656,1.1556568145751953,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
51,6.270329,14.912433624267578,1.1296716928482056,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
52,6.0205784,14.534168243408203,1.106180191040039,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
53,5.7928925,14.13739013671875,1.077823281288147,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
54,5.5758595,13.852352142333984,1.0645694732666016,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
55,5.367078,13.599329948425293,1.0466399192810059,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
