iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
35,1.3033241059382756,0.5353386402130127,6.250414848327637,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
36,1.255352478126685,0.5125710964202881,6.030600547790527,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
37,1.2194626827041308,0.48824697732925415,5.787230014801025,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
38,1.1863082472483317,0.46898871660232544,5.591779708862305,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
39,1.1490534902612368,0.45125579833984375,5.4214253425598145,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
40,1.0918175640702248,0.42715057730674744,5.192035675048828,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
41,1.113323617776235,0.4281213879585266,5.199626445770264,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
42,1.0745413193106652,0.412870854139328,5.052496910095215,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
43,1.0516517906884353,0.395882785320282,4.8856048583984375,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
44,0.9864384789764881,0.3750647008419037,4.682564735412598,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
45,0.9556973127524058,0.35297879576683044,4.458806037902832,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
46,0.9458608337243398,0.3472954332828522,4.402182102203369,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
47,0.9444473008314769,0.34427300095558167,4.380707263946533,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
48,0.9366705369949341,0.34238383173942566,4.36915922164917,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
49,0.9093419513106347,0.32965123653411865,4.239198684692383,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
50,0.8968349420030912,0.3234420120716095,4.169123649597168,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
