iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
63,8.582496622403463,1.8991661071777344,44.32080841064453,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
64,8.56777018070221,1.8793898820877075,44.15768051147461,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
65,8.539597897132237,1.8919000625610352,44.26267623901367,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
66,8.545078452428182,1.8845024108886719,44.16005325317383,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
67,8.550043583710988,1.8819446563720703,44.162925720214844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
68,8.539079006115596,1.8964160680770874,44.34138107299805,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
69,8.522212664286295,1.8893357515335083,44.27447509765625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
70,8.463055758873622,1.8805469274520874,44.193824768066406,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
71,8.461522772312165,1.9065572023391724,44.41727828979492,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
72,8.493624453941981,1.919880986213684,44.55621337890625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
73,8.457425074179968,1.9070024490356445,44.410552978515625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
74,8.404213260412217,1.9133270978927612,44.485836029052734,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
75,8.432776359717051,1.9019265174865723,44.37066650390625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
76,8.46405534585317,1.907302737236023,44.43091583251953,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
77,8.42415358265241,1.896824598312378,44.360435485839844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
78,8.421095894177755,1.8904680013656616,44.272621154785156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
79,8.417893498341243,1.8947968482971191,44.3101692199707,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
80,8.395049787759781,1.873671531677246,44.1165771484375,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
81,8.330200688838959,1.9020687341690063,44.44044876098633,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
82,8.331764203310012,1.9073171615600586,44.473602294921875,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
83,8.30341406305631,1.8936800956726074,44.320884704589844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
84,8.300545864502588,1.8801780939102173,44.21440505981445,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
85,8.295779986778895,1.894871711730957,44.376861572265625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
86,8.300585352182388,1.8711005449295044,44.12596130371094,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
87,8.293846312363943,1.8661869764328003,44.09445571899414,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
88,8.310954477787018,1.8822978734970093,44.21451187133789,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
89,8.33257377743721,1.8823789358139038,44.23528289794922,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
90,8.309293958346048,1.904144525527954,44.463294982910156,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
91,8.346850621302922,1.9395114183425903,44.78485870361328,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
92,8.312585373719534,1.9133390188217163,44.492549896240234,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
93,8.33086802124977,1.9217785596847534,44.545413970947266,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
94,8.357458624442419,1.902453064918518,44.35466766357422,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
95,8.335797074238458,1.9065877199172974,44.37258529663086,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
96,8.332589640617371,1.912461757659912,44.47473907470703,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
97,8.298169335126877,1.9021358489990234,44.39257049560547,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
