iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
60,0.22765696083195508,0.9415925145149231,10.250297546386719,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
61,0.2238494462395708,0.9183255434036255,10.008636474609375,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
62,0.2246254713119318,0.9050511121749878,9.868242263793945,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
63,0.2288889135979116,0.8842223286628723,9.654840469360352,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
64,0.21897139986356098,0.871797502040863,9.550576210021973,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
65,0.23635134959593415,0.8706353902816772,9.536214828491211,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
66,0.22550037238126,0.8606282472610474,9.444323539733887,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
67,0.20810567566814522,0.8617544770240784,9.471957206726074,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
68,0.20031119124653438,0.8644240498542786,9.519743919372559,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
69,0.20161601375633229,0.8531464338302612,9.404745101928711,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
70,0.19374647117840746,0.8237103223800659,9.112833976745605,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
71,0.18761536002159118,0.8263542056083679,9.136611938476562,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
72,0.20077303847298025,0.8153275847434998,9.032856941223145,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
73,0.197603246110181,0.8070356249809265,8.94057559967041,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
74,0.1900257692517092,0.7973927855491638,8.845568656921387,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
75,0.18587644059831898,0.7842162847518921,8.706090927124023,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
76,0.18020148465099434,0.769746720790863,8.555948257446289,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
77,0.1742423358466476,0.7553659677505493,8.392839431762695,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
78,0.17378757456317545,0.7360072731971741,8.19820499420166,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
79,0.19813364377555748,0.7317532300949097,8.151017189025879,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
80,0.19488408033425608,0.7325865626335144,8.166051864624023,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
81,0.19726920422787467,0.7225509285926819,8.057967185974121,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
82,0.20120214161773523,0.71580570936203,7.9846720695495605,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
83,0.20354956072444716,0.7152789235115051,7.978178024291992,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
84,0.21437152128045758,0.7101457118988037,7.929253101348877,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
85,0.2083371238410473,0.6850880980491638,7.659818649291992,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
86,0.21853723695501684,0.6826430559158325,7.653733253479004,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
87,0.21515396420223018,0.6840035915374756,7.666813373565674,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
88,0.21483234889184435,0.6927996873855591,7.759462356567383,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
