iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
97,0.9002489473422368,0.17978788912296295,2.60123610496521,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
98,1.0132403433819612,0.19404855370521545,2.7590718269348145,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
99,0.9758493567506472,0.1858583241701126,2.6729202270507812,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
100,1.0300121556719144,0.20420192182064056,2.8640427589416504,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
101,1.0658793282012144,0.20576010644435883,2.8696672916412354,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
102,1.0082712740202744,0.2016545981168747,2.822417736053467,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
103,1.0147652221719423,0.20337289571762085,2.841289758682251,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
104,0.9967775616546471,0.20904985070228577,2.902890205383301,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
105,0.9553603543837865,0.21325421333312988,2.92767596244812,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
106,0.9365023561815421,0.20765680074691772,2.8774242401123047,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
107,0.918526319215695,0.2035030722618103,2.83186411857605,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
108,0.9568949883182843,0.23074834048748016,3.10909366607666,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
109,0.9391014910240968,0.22317133843898773,3.0230863094329834,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
110,0.9338741068045299,0.22532601654529572,3.047877550125122,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
111,0.9738788038492203,0.24060583114624023,3.20428729057312,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
112,1.0038214391469955,0.22919784486293793,3.0916731357574463,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
113,1.0692332893113294,0.23787644505500793,3.168843984603882,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
114,1.0590228787561258,0.23358717560768127,3.131701946258545,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
115,1.102523777683576,0.22831249237060547,3.076314926147461,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
116,1.2415707775453726,0.27229636907577515,3.513528347015381,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
117,1.1012624599039555,0.24753718078136444,3.2618138790130615,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
