iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
81,1.515222576657931,0.7929099798202515,7.306893825531006,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
82,1.5395821189880372,0.7909712195396423,7.273871421813965,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
83,1.517170617878437,0.7924593091011047,7.26215934753418,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
84,1.507237040201823,0.779500424861908,7.23751974105835,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
85,1.4955434015393256,0.7796216607093811,7.237244606018066,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
86,1.4810669312874476,0.7816786766052246,7.2576189041137695,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
87,1.489742197394371,0.7735226154327393,7.246598720550537,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
88,1.471089069545269,0.7782351970672607,7.238958358764648,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
89,1.470525353749593,0.7812423706054688,7.247759819030762,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
90,1.4997394454479218,0.7919871211051941,7.2928466796875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
91,1.5065710254510243,0.7859381437301636,7.2209343910217285,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
92,1.4653684697548548,0.7886670231819153,7.2066969871521,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
93,1.44002982194225,0.7758027911186218,7.051363945007324,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
94,1.430346166441838,0.7865099310874939,7.055566787719727,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
95,1.4059329310556252,0.788494884967804,7.047396183013916,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
96,1.443526711364587,0.7892233729362488,7.017730712890625,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
97,1.4431358361244202,0.7952205538749695,7.080423355102539,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
98,1.4246232903997103,0.7802894711494446,6.979586601257324,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
99,1.4186409322420757,0.7847877740859985,7.000399589538574,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
100,1.4299554855624834,0.7828919291496277,6.965932846069336,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
101,1.4735840545097987,0.7831164598464966,7.005924701690674,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
102,1.487947667936484,0.7815855741500854,7.0230793952941895,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
103,1.502391122877598,0.7758910655975342,7.11227560043335,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
104,1.5255175585548082,0.7713205218315125,7.131201267242432,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
105,1.4973070108890534,0.7655324935913086,7.075326442718506,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
106,1.4979717204968135,0.7532795667648315,7.007260799407959,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
107,1.47723974665006,0.7661690711975098,7.017538547515869,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
108,1.4644188898801804,0.7764848470687866,7.014028549194336,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
109,1.487121089696884,0.7782319784164429,7.103837966918945,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
110,1.4715816366672516,0.7788520455360413,7.012040138244629,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
111,1.4810073265433312,0.7679705023765564,6.993173122406006,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
112,1.462171805004279,0.7735148668289185,7.068295955657959,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
113,1.4531759613752364,0.7682567238807678,7.046411991119385,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
