iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
46,109.6211689311212,109.90828154764421,109.3340563145982,108.19056597041924,108.68571653044158,107.6954154103969,107.7713121462642,108.21964595113198,107.32297834139641,107.36810777093451,107.77684263985832,106.95937290201071
47,109.78046554678443,110.07330413366385,109.487626959905,108.29326586754583,108.75482087849844,107.83171085659322,107.57220570215927,107.9823516763707,107.16205972794783,107.32231199144982,107.69726826983417,106.94735571306548
48,109.57709446420509,109.85137871704435,109.30281021136582,108.33200840940142,108.72901989226925,107.9349969265336,107.17153010200005,107.53639749915318,106.80666270484691,106.97827294014265,107.28561581741182,106.67093006287347
49,109.77181107685276,110.19781005350764,109.34581210019788,107.98938735904078,108.36950508347631,107.60926963460524,107.52836755695304,108.01857840625613,107.03815670764996,107.25302148767882,107.61981973872165,106.886223236636
50,109.3106098136416,109.58215909883381,109.0390605284494,107.71001245544817,107.99876313795812,107.42126177293821,107.12761840775349,107.4556978000238,106.79953901548318,107.11091250074671,107.50897317344442,106.712851828049
51,109.36734810736584,109.7959774532084,108.93871876152329,107.72855766877721,108.11420724779525,107.34290808975918,107.41730790353513,107.88830011678711,106.94631569028316,106.79334533515298,107.08613519533226,106.5005554749737
52,108.73275685150982,109.14711548413993,108.31839821887971,107.46186207155934,107.77523069951852,107.14849344360016,106.45982648830213,106.80676266542088,106.11289031118338,106.69306820730701,107.0033724249467,106.38276398966731
53,109.44957459551844,109.74061196818957,109.15853722284731,107.82349261803697,108.12775154687668,107.51923368919725,107.59628150242274,108.06293539935908,107.1296276054864,106.93680225633553,107.27242807083661,106.60117644183444
54,109.40774159964397,109.67164662753102,109.14383657175692,107.71278543956403,107.97287069549134,107.45270018363672,107.77752577915774,108.3070421979173,107.24800936039819,106.37797951122195,106.61377348654392,106.14218553589998
55,109.06825596794931,109.23815984217444,108.89835209372418,107.45745494098848,107.80055969612724,107.11435018584973,106.87651584646669,107.19488793420578,106.5581437587276,106.70161900025218,107.0549467740829,106.34829122642147
56,109.30797533696057,109.60590104125545,109.01004963266568,107.20662764308334,107.60131162654993,106.81194365961674,106.6232156529442,107.15633737023077,106.09009393565762,105.7986349642536,106.1969822165885,105.4002877119187
57,109.1810333526279,109.58969963357474,108.77236707168107,106.92315769894954,107.32338526539283,106.52293013250625,106.333226477209,106.7594633694557,105.90698958496229,106.05308798476355,106.41898774388274,105.68718822564436
58,109.20836075169807,109.42224700106009,108.99447450233605,107.27893764252067,107.5824825852918,106.97539269974955,106.21338125009206,106.50085517556434,105.92590732461977,106.26667285308876,106.52898646968997,106.00435923648756
59,108.99975713814517,109.31059512376079,108.68891915252955,107.16538486972551,107.52445933040096,106.80631040905007,106.68216485873367,107.22374644717429,106.14058327029305,106.26770438418232,106.58467333360858,105.95073543475607
60,109.32525910222019,109.69554454868073,108.95497365575964,107.67473171850784,108.13223814268535,107.21722529433033,106.58948053107338,107.11594073745998,106.06302032468678,105.99298938177633,106.37126146516587,105.61471729838678
61,108.77600343017725,109.04148035396106,108.51052650639345,107.06807492706892,107.40244056656141,106.73370928757643,106.06005726793623,106.46182001394803,105.65829452192443,106.14724217400718,106.53856599068133,105.75591835733302
62,109.0222443130854,109.39799441549316,108.64649421067763,107.10511643117327,107.44253909613819,106.76769376620835,106.29305358535416,106.74286246744707,105.84324470326125,105.90809108437793,106.12009447955006,105.6960876892058
63,108.67213222216824,108.97858222562665,108.36568221870984,107.26794503787501,107.43053333943197,107.10535673631804,106.27584619179429,106.66883281327038,105.88285957031819,105.31707495289263,105.58028823571784,105.0538616700674
64,108.92939842989945,109.10342417395822,108.75537268584068,107.37954047940335,107.80921302561876,106.94986793318793,106.23349428216645,106.66228415826032,105.80470440607257,105.0563580710065,105.38776994180722,104.72494620020578
65,108.8379022147905,109.11550172191856,108.56030270766244,107.48441785268096,107.90465995573169,107.06417574963024,105.9272913090311,106.34512265128623,105.50945996677598,105.42520375858312,105.67057949886146,105.17982801830479
66,109.18693836964118,109.61239750435156,108.7614792349308,106.74576104492698,107.09553017697019,106.39599191288377,106.03892831690925,106.47956448047174,105.59829215334676,105.1254712227208,105.41798498676192,104.83295745867969
67,109.12574497346341,109.40731833264265,108.84417161428418,107.40648222100313,107.69945410330763,107.11351033869863,105.88783604394348,106.38705371677037,105.38861837111659,104.90983073700829,105.1336077919369,104.68605368207969
