iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
55,4.044376820398816,4.252491026992852,3.83626261380478,102.12753819318652,102.42713228545355,101.8279441009195,545.6078578663241,547.4313147381155,543.7844009945328,1304.3145618878848,1309.011886937814,1299.6172368379555
56,4.043551782748642,4.24536871692745,3.8417348485698337,102.36571491051089,102.6917548584147,102.03967496260708,544.2382971586251,546.1687804849339,542.3078138323162,1293.0796165305076,1297.1061925891015,1289.0530404719136
57,4.018256579356842,4.223450594874249,3.813062563839434,102.70867421100316,103.04491892148471,102.3724295005216,543.6298764642124,545.375396629592,541.8843562988328,1293.6554202005389,1298.1519987362874,1289.1588416647903
58,4.020488993115082,4.219313294370193,3.8216646918599713,101.9080027207924,102.20423510140857,101.61177034017622,539.9850818138617,541.7102977537363,538.2598658739871,1293.3060275394653,1297.282774105282,1289.3292809736486
59,4.037922305478853,4.242186209431026,3.8336584015266797,102.23801961903293,102.53254850071858,101.94349073734728,540.8681798987898,542.6227623660673,539.1135974315123,1288.3940127129629,1291.5473188994831,1285.2407065264426
60,4.029921447301052,4.239626412833145,3.8202164817689592,102.12218495447333,102.4233937292433,101.82097617970335,539.562208879764,541.7562117066356,537.3682060528923,1288.7893164360607,1292.4587059383964,1285.119926933725
61,4.047137308645422,4.251544479563197,3.8427301377276475,101.8123648258273,102.12637047622694,101.49835917542767,538.8295659477812,540.454363562659,537.2047683329035,1283.5122654331628,1287.5372070536603,1279.4873238126654
62,4.0201575624945525,4.225980189374965,3.8143349356141396,101.91853099193484,102.2104530458853,101.62660893798439,535.8448403089816,537.543127147357,534.1465534706061,1282.1006784331335,1286.4331171636647,1277.7682397026022
63,4.066277310800544,4.27751286036835,3.8550417612327377,101.9919416716244,102.37490568364444,101.60897765960436,536.3840491656566,538.1090542972316,534.6590440340816,1279.1903994929353,1282.5338769733971,1275.8469220124734
64,4.080953480751754,4.286247755400303,3.875659206103205,101.6328499271323,102.06226577880541,101.20343407545919,534.8609123358628,536.5117974792437,533.210027192482,1273.8510857482977,1277.2944294039316,1270.4077420926637
65,4.061893029935436,4.265721463709367,3.8580645961615048,101.71963219752516,102.02760504167053,101.41165935337979,533.3597745496754,535.3169489759865,531.4026001233643,1272.7185523276905,1277.0453511050862,1268.3917535502949
66,4.0530706143746595,4.264955760852671,3.841185467896648,101.70176767108195,101.98262107562692,101.42091426653698,533.9649478928534,535.4903116379651,532.4395841477417,1265.7430324947786,1270.1716950321184,1261.3143699574389
67,4.060494607268496,4.264416269390045,3.8565729451469477,102.0720219503561,102.39806608898989,101.74597781172231,533.0161660714044,534.5704307326539,531.461901410155,1269.191720533288,1272.963007662177,1265.4204334043989
68,4.066642178086829,4.279359908833396,3.853924447340262,101.75429527356738,102.38579844915097,101.12279209798379,530.7707872122188,532.1533255344924,529.3882488899452,1264.872512776315,1268.9689450677588,1260.7760804848713
69,4.0570777296620735,4.258743432256402,3.8554120270677448,101.07782511856225,101.52119317170663,100.63445706541786,530.3451825679574,532.0079877255192,528.6823774103956,1257.130670153992,1260.8961364543884,1253.3652038535956
70,4.037735513099539,4.230952782777076,3.844518243422002,101.5589308638899,101.91962668094946,101.19823504683033,528.5912701172629,530.1895101336653,526.9930301008604,1256.7212378880472,1260.8787670530535,1252.563708723041
