iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
106,0.12209975272417066,0.12275739308384323,0.12144211236449809,0.1444919005036354,0.14500681050090958,0.1439769905063612,0.21403842866420747,0.2150169244827633,0.21305993284565164,0.3264599770307541,0.327917377748187,0.32500257631332113
107,0.11988260149955746,0.12055320650465431,0.1192119964944606,0.14225333034992216,0.14263710657918646,0.14186955412065785,0.21218580454587932,0.21330449683627423,0.2110671122554844,0.32483271360397337,0.3259794016622759,0.32368602554567083
108,0.11808004453778262,0.11879172865187838,0.11736836042368685,0.14015891700983046,0.14056990084805987,0.13974793317160106,0.2108727991580963,0.21208146577715675,0.20966413253903587,0.32403920590877533,0.3249329696277046,0.32314544218984603
109,0.11593828648328777,0.11664530479882682,0.11523126816774873,0.13867621123790738,0.13907030738520304,0.13828211509061172,0.20949199348688122,0.21048466590535347,0.20849932106840896,0.32348760068416593,0.32475539066069814,0.3222198107076337
110,0.11426678523421285,0.11503901616801798,0.11349455430040772,0.13775418549776078,0.13851747717258578,0.13699089382293578,0.2083853796124458,0.20952813608535972,0.20724262313953187,0.3232823878526688,0.324760580485603,0.3218041952197345
111,0.11266844496130939,0.11337037433692389,0.11196651558569488,0.13658405393362044,0.13735219153001324,0.13581591633722764,0.2069824561476707,0.20790100244598908,0.2060639098493523,0.32332502901554105,0.3251230386346804,0.3215270193964017
112,0.11078638881444929,0.11150310073053513,0.11006967689836344,0.13501423299312587,0.13574627267089964,0.1342821933153521,0.20615194886922836,0.20711771238645466,0.20518618535200206,0.324001157283783,0.3259863366975632,0.32201597787000275
113,0.10900464430451388,0.10969900885555056,0.1083102797534772,0.1340576469898223,0.13471855678433386,0.13339673719531076,0.20543987452983856,0.2062833328531303,0.2045964162065468,0.32376486659049986,0.3255097818937767,0.322019951287223
114,0.10747538879513736,0.10800952172186512,0.10694125586840961,0.13269716501235962,0.1332479432597191,0.13214638676500015,0.20489131361246105,0.2058775708815542,0.2039050563433679,0.3227275490760803,0.3244370817354815,0.3210180164166791
115,0.10596347376704211,0.10650814881231238,0.10541879872177184,0.13126288950443266,0.13174341419074467,0.13078236481812064,0.20407938361167904,0.20501234344739996,0.20314642377595812,0.3216288059949875,0.3231507233212835,0.3201068886686915
116,0.10488114207983015,0.10551884399181535,0.10424344016784495,0.13054591715335842,0.13119339108630995,0.1298984432204069,0.20476236343383786,0.2058667764642331,0.20365795040344262,0.3217352420091629,0.3229455417188994,0.32052494229942646
117,0.10395857170224188,0.10452429797394376,0.10339284543053999,0.1296301871538162,0.13017702675148196,0.12908334755615042,0.2037121087312698,0.20465251362423753,0.20277170383830206,0.3214011549949646,0.3226671304240084,0.32013517956592075
118,0.10308383703231805,0.10370269510995957,0.10246497895467653,0.12809131219983097,0.12871826600628822,0.12746435839337372,0.20241757929325105,0.20365071148242683,0.20118444710407526,0.32052259147167206,0.3215443569588698,0.3195008259844743
119,0.10178133025765415,0.10247144308970309,0.10109121742560521,0.12728866115212437,0.12784079147504562,0.1267365308292031,0.20231883674860002,0.20346777428021084,0.2011698992169892,0.3204167813062668,0.32171507404336547,0.3191184885691681
120,0.10078544765710826,0.10153413342169584,0.10003676189252067,0.1265926219522953,0.12702387527454542,0.12616136863004515,0.20172750204801554,0.20302295736165138,0.2004320467343797,0.32023689448833464,0.3212295516641574,0.3192442373125119
121,0.10011385381221767,0.10073089197354346,0.09949681565089188,0.12579091712832446,0.1261181387033257,0.12546369555332323,0.20208122432231898,0.20333243367531068,0.2008300149693273,0.3214664161205292,0.3226612257367578,0.32027160650430053
122,0.09902488589286802,0.0996201973503411,0.09842957443539495,0.12520746290683743,0.1256248613560981,0.12479006445757676,0.20120899379253387,0.20226861610659716,0.2001493714784706,0.32128635346889495,0.32273712095824747,0.3198355859795424
123,0.0981874637305736,0.09868915495150464,0.09768577250964257,0.12443776279687879,0.12504267041690767,0.12383285517684992,0.20068723708391184,0.20178645080121016,0.19958802336661352,0.3204057365655899,0.3217129912685696,0.3190984818626102
124,0.09718508943915363,0.09776776797470732,0.09660241090359994,0.12378347814083097,0.12436337222047614,0.12320358406118581,0.19962978661060332,0.200689839673315,0.19856973354789165,0.32008923292160035,0.32159658012093656,0.31858188572226415
