iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
51,0.015473944228142439,0.01591483777131454,0.015033050684970337,0.2945705741643906,0.2998444044122464,0.28929674391653476,1.3776440501213074,1.3930456502900286,1.3622424499525863,4.033708786964416,4.071185754601943,3.996231819326889
52,0.014743936713784888,0.015061105829542627,0.014426767598027149,0.288312166929245,0.2931850658712043,0.2834392679872857,1.3486560583114624,1.3636969928542997,1.3336151237686251,3.9937437772750854,4.034077348782009,3.9534102057681615
53,0.013957807701080982,0.014264908203203572,0.013650707198958393,0.2810251146554947,0.28549609915303265,0.2765541301579567,1.3198832631111146,1.3331334543195361,1.306633071902693,3.9397965908050536,3.9810076406949584,3.898585540915149
54,0.013283991627395108,0.013648026864351254,0.012919956390438962,0.2742018669843674,0.27904318043610815,0.2693605535326266,1.2872498035430908,1.3004586086097902,1.2740409984763914,3.898125505447388,3.941635351376079,3.8546156595186964
55,0.012662367522716472,0.013042964809918945,0.012281770235513998,0.2675473794341087,0.2721951781822729,0.26289958068594454,1.261796522140503,1.2759799170832737,1.2476131271977322,3.856641435623169,3.897553102852261,3.8157297683940765
56,0.01232217876240606,0.01270561248838805,0.01193874503642407,0.2625868514180183,0.2678545387974267,0.2573191640386099,1.236504352092743,1.2520681927174344,1.2209405114680516,3.8187333822250364,3.85884370127625,3.7786230631738227
57,0.011909932550042829,0.01229853441245381,0.011521330687631847,0.2567313626408577,0.26134558100658367,0.25211714427513177,1.2102325797080993,1.2253563192809862,1.1951088401352123,3.7841887712478637,3.8258223917059784,3.742555150789749
58,0.011247423291206298,0.011580326396018817,0.01091452018639378,0.2503158941864967,0.2547881954891792,0.24584359288381416,1.1815173864364623,1.1961095243569984,1.1669252485159263,3.7446032762527466,3.786894384269042,3.702312168236451
59,0.01082382686436172,0.011203643611501777,0.010444010117221661,0.24491465985774993,0.24909381166965341,0.24073550804584645,1.1545475602149964,1.1689562711467574,1.1401388492832354,3.70826313495636,3.7522236897458803,3.6643025801668396
60,0.01023082863539452,0.010582075576195593,0.009879581694593449,0.23909182995557782,0.2430841250893615,0.23509953482179413,1.1240554690361022,1.1381904597079295,1.1099204783642749,3.6672378540039063,3.7137472701540712,3.6207284378537414
61,0.009819176141172599,0.010201582993845378,0.009436769288499819,0.2364775612950325,0.24031137949310377,0.23264374309696123,1.1014402985572815,1.115250116872916,1.087630480241647,3.6334561824798586,3.6792195772351404,3.587692787724577
62,0.00961908483877774,0.010029838218594876,0.009208331458960604,0.2330104500055313,0.2368140788877463,0.2292068211233163,1.079774308204651,1.0937873633122472,1.0657612530970546,3.592239427566528,3.637998530676013,3.5464803244570433
63,0.00916604748927052,0.009542005056378807,0.008790089922162233,0.22863731980323793,0.2326848218338313,0.22458981777264456,1.0529494404792785,1.067103833435842,1.038795047522715,3.5551928281784058,3.603001414758592,3.5073842415982197
64,0.00884895487688475,0.009202340975660046,0.008495568778109454,0.22421965003013605,0.22685848848635967,0.22158081157391243,1.0296628654003144,1.0436459956134378,1.015679735187191,3.5112551927566527,3.55651793834012,3.465992447173185
65,0.00869572316296394,0.009046062989504956,0.008345383336422924,0.2202969819307327,0.223128884277714,0.2174650795837514,1.0067644119262695,1.0204132900980172,0.9931155337545219,3.48038489818573,3.5269802998635083,3.433789496507952
66,0.00847019455395635,0.008814399082367575,0.008125990025545125,0.21790026873350138,0.22095801804071685,0.2148425194262859,0.9875797390937805,1.0016213768039208,0.9735381013836403,3.4391281604766846,3.4834087244604075,3.3948475964929616
67,0.00800331528298552,0.008284020814831554,0.007722609751139487,0.21276758313179017,0.2146789026196577,0.21085626364392265,0.9628453850746155,0.9753054799061006,0.9503852902431303,3.40353741645813,3.4488475120343627,3.358227320881897
68,0.007817548653110809,0.008054479455653313,0.007580617850568304,0.2097520872950554,0.21174758319187936,0.20775659139823144,0.9438060283660888,0.9550845274713908,0.9325275292607869,3.3688710927963257,3.41344515267298,3.3242970329196715
69,0.00770999961532647,0.007966840230509293,0.0074531590001436455,0.20663950890302654,0.2091245638193837,0.20415445398666937,0.9235676467418671,0.9350017453469064,0.9121335481368278,3.3310866594314574,3.3769017486926436,3.2852715701702713
70,0.007633105153217859,0.007869574614663939,0.00739663569177178,0.20516536831855775,0.20752598765591637,0.20280474898119913,0.9080807983875274,0.9191507513780632,0.8970108453969916,3.3012794733047484,3.348158319514122,3.2544006270953747
71,0.00757035231217736,0.007811452348206419,0.007329252276148301,0.20476986765861507,0.2075163303189661,0.20202340499826404,0.8950038611888885,0.9063816448861709,0.8836260774916062,3.2758234262466432,3.3211319426588655,3.230514909834421
72,0.00745508400723333,0.007674814441113816,0.007235353573352844,0.20451572239398952,0.20725101686132433,0.2017804279266547,0.8772458851337432,0.8894159850476456,0.8650757852198409,3.2439650535583495,3.286914855151149,3.20101525196555
73,0.00723685706034297,0.0074898874003207026,0.006983826720365238,0.200888754427433,0.20349191916232984,0.19828558969253618,0.8603236079216003,0.8716486079607938,0.8489986078824069,3.211704874038696,3.252049227554468,3.1713605205229243
74,0.007145656086504411,0.0073871562652817755,0.006904155907727046,0.1993685960769653,0.20233652183167122,0.19640067032225939,0.8435249328613281,0.8549627219166223,0.832087143806034,3.1807281970977783,3.222238640447737,3.1392177537478196
75,0.00688609615899618,0.007115018477904581,0.0066571738400877795,0.19701701402664182,0.19984532570435135,0.1941887023489323,0.8313787519931793,0.8428316657683271,0.8199258382180316,3.1562827587127686,3.20020329039215,3.1123622270333873
76,0.00666979700326914,0.006862920956177554,0.0064766730503607265,0.19433302283287046,0.1967095396152771,0.19195650605046383,0.8127235352993012,0.8247558616600092,0.8006912089385931,3.1244069814682005,3.1701377426730803,3.0786762202633207
77,0.0064665365032851195,0.006670324880239598,0.006262748126330641,0.1921683326363563,0.1943315811726857,0.1900050841000269,0.7949895679950714,0.8072026900852926,0.7827764459048502,3.091276526451111,3.136369243431081,3.046183809471141
78,0.006535431090742311,0.006755916974813955,0.0063149452066706665,0.19153312593698502,0.19398664786484876,0.18907960400912127,0.7822613954544068,0.7944633678367619,0.7700594230720517,3.0616126537322996,3.1051302176659434,3.018095089798656
79,0.006591325765475581,0.006747973229253403,0.006434678301697759,0.1911972180008888,0.19379004327442964,0.18860439272734794,0.7685539841651916,0.7814560019803528,0.7556519663500304,3.0364129066467287,3.0792423746586377,2.9935834386348197
80,0.0064723429735749505,0.006619828921654307,0.006324857025495594,0.18852337300777433,0.19142806005087745,0.1856186859646712,0.7528294503688813,0.7649048524378383,0.7407540482999242,3.001133680343628,3.0421323372399662,2.9601350234472896
81,0.0062935767229645905,0.006429654760372719,0.006157498685556462,0.18625564426183697,0.18915455843684995,0.183356730086824,0.7407839596271515,0.7532584474577455,0.7283094717965575,2.9705115079879763,3.0089108923210355,2.932112123654917
82,0.006195796467363792,0.006318729458277261,0.006072863476450322,0.18481612950563428,0.1874764960431199,0.18215576296814867,0.7310027599334716,0.7443481029632046,0.7176574169037386,2.9383977174758913,2.973957931072682,2.9028375038791006
83,0.00617537186481054,0.006283389958532208,0.006067353771088872,0.1840296059846878,0.18639302532548302,0.18166618664389256,0.7158663153648377,0.7288016708337888,0.7029309598958866,2.9134644269943237,2.951586241579062,2.8753426124095856
84,0.00619161622598763,0.006286839766451165,0.006096392685524095,0.18228837698698042,0.1845670206722752,0.18000973330168563,0.7066009342670441,0.7193028201806789,0.6938990483534092,2.8875516176223757,2.9248745982635063,2.850228636981245
85,0.005991484364494629,0.006067510354869123,0.005915458374120135,0.1796875402331352,0.1816012502851528,0.17777383018111761,0.6924095869064331,0.704949966254544,0.6798692075583221,2.863544797897339,2.9010433174413617,2.8260462783533162
86,0.00611892971210176,0.006255386491458763,0.005982472932744756,0.17855199277400968,0.18073154224202548,0.1763724433059939,0.6824410438537598,0.6949072919100523,0.6699747957974673,2.8443073987960816,2.8808739396840988,2.8077408579080645
87,0.006142678856849619,0.00623804099795884,0.006047316715740399,0.1792070612311363,0.18148089232804762,0.176933230134225,0.6739432096481324,0.6857443038991092,0.6621421153971555,2.81832537651062,2.8562419149983516,2.780408838022889
