iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
37,0.20344286561012268,0.20635063082083724,0.2005351003994081,0.5081139802932739,0.5154434752382001,0.5007844853483477,0.9252251505851745,0.9319569202932649,0.9184933808770841,1.2754122138023376,1.2842936431195477,1.2665307844851275
38,0.1896082043647766,0.1922146468094598,0.1870017619200934,0.48764111697673795,0.4946835583361229,0.48059867561735303,0.9009049296379089,0.9081182232661935,0.8936916360096243,1.255425477027893,1.2634889162268055,1.2473620378289805
39,0.17628769278526304,0.17849625620529483,0.17407912936523126,0.4697874665260315,0.47627728268316616,0.4632976503688968,0.8793280005455018,0.8867786599538345,0.871877341137169,1.2356594324111938,1.2442063074482956,1.227112557374092
40,0.16483723074197767,0.16696730972102172,0.16270715176293363,0.4529540628194809,0.45964961051039355,0.4462585151285683,0.8592906653881073,0.8665900325441905,0.851991298232024,1.218776249885559,1.227381696159643,1.2101708036114749
41,0.15443619042634965,0.15616020005873757,0.15271218079396173,0.4326755076646805,0.43944830502640386,0.4259027103029571,0.8359474778175354,0.8422796735896892,0.8296152820453816,1.2038235187530517,1.212337036527239,1.1953100009788644
42,0.14517911225557326,0.14724362801694943,0.14311459649419708,0.41764201521873473,0.4246610200882556,0.41062301034921384,0.8153602600097656,0.8205299716364248,0.8101905483831063,1.189740526676178,1.1971011636128406,1.1823798897395155
43,0.13689666688442229,0.1386783338433271,0.13511499992551748,0.4040571302175522,0.4104437127502219,0.39767054768488247,0.8003272771835327,0.8055635734008333,0.7950909809662321,1.1731613755226136,1.1805037088933998,1.1658190421518273
44,0.1291230775415897,0.13089282217100812,0.12735333291217127,0.38740119636058806,0.3930763387639736,0.38172605395720255,0.782962954044342,0.7875435671423887,0.7783823409462953,1.156599235534668,1.1641055549537873,1.1490929161155485
45,0.12222478315234182,0.12420512084429984,0.1202444454603838,0.37756219506263733,0.3836400308844142,0.3714843592408605,0.7722991645336151,0.7764481917703728,0.7681501372968574,1.1420254945755004,1.1498445412343246,1.1342064479166762
46,0.1160169810056686,0.11788211334685923,0.11415184866447796,0.36575823128223417,0.371861483818257,0.35965497874621133,0.7510728776454926,0.7550120607003289,0.7471336945906563,1.1265422582626343,1.1334275208248954,1.1196569957003732
47,0.10998135581612585,0.11163033588517224,0.10833237574707946,0.35549251139163973,0.3605215248528628,0.35046349793041665,0.7367174685001373,0.7416307073599475,0.7318042296403271,1.1158289551734923,1.1234973385430465,1.1081605718039382
48,0.10426053255796427,0.10574776251360689,0.10277330260232166,0.3438238620758057,0.34893705513286327,0.3387106690187481,0.7236717879772187,0.7295672409897057,0.7177763349647316,1.1039418220520019,1.1118073766068255,1.0960762674971782
49,0.09849322885274883,0.09994210546060034,0.09704435224489733,0.3357542783021927,0.3411451762763823,0.33036338032800305,0.7115880787372589,0.7174655979835727,0.7057105594909452,1.0905186533927917,1.0991727708200731,1.0818645359655104
50,0.09339381158351896,0.09473299638069291,0.09205462678634502,0.3257680326700211,0.3313728903176218,0.32016317502242037,0.6993907690048218,0.7052665519155857,0.6935149860940578,1.0827134132385254,1.0908973786767748,1.074529447800276
51,0.0887708082795143,0.08994506919449977,0.08759654736452882,0.3163333475589752,0.3217452854889688,0.31092140962898157,0.6844623982906342,0.6887447435954892,0.6801800529857791,1.07554372549057,1.0827936553373,1.0682937956438399
52,0.08347713872790331,0.08450523537572156,0.08244904208008506,0.3113007456064224,0.31616122540675623,0.3064402658060886,0.6757869720458984,0.6808432799483586,0.6707306641434383,1.072219467163086,1.0790108708492439,1.0654280634769282
53,0.08070701435208316,0.08144195096904636,0.07997207773511997,0.304281947016716,0.3080800373047865,0.3004838567286455,0.6671517312526702,0.6729847685484008,0.6613186939569397,1.0661218523979188,1.0719464150600833,1.0602972897357543
54,0.0774165585637092,0.07862807984258892,0.07620503728482948,0.2979507267475128,0.30177910469718283,0.2941223487978427,0.6554940819740296,0.6619478425074024,0.6490403214406568,1.0549888014793396,1.059744371257783,1.0502332317008962
55,0.0746173426508903,0.07575600665328001,0.07347867864850059,0.2916044294834137,0.2951089359192101,0.2880999230476173,0.6459828615188599,0.651635966624483,0.6403297564132368,1.0503243565559388,1.0546254323751652,1.0460232807367125
56,0.07129443660378453,0.0724067383149328,0.07018213489263625,0.28715984523296356,0.2902032742511602,0.2841164162147669,0.6406919360160828,0.6459077746549049,0.6354760973772606,1.0461531639099122,1.0503780323621354,1.041928295457689
57,0.0682085663080215,0.06921609679663424,0.06720103581940876,0.2824840843677521,0.28518701607592306,0.2797811526595811,0.6310498893260956,0.6358092511274617,0.6262905275247296,1.0372370839118958,1.0424723587270646,1.0320018090967271
58,0.06540473289787765,0.06641086491576942,0.06439860087998589,0.27581162452697755,0.2793847676245158,0.2722384814294393,0.6243229448795319,0.6294542180673749,0.6191916716916889,1.0321520924568177,1.0383551536619653,1.0259490312516701
59,0.06225490309298033,0.06312632735628065,0.06138347882968001,0.271484063565731,0.2753213260267803,0.26764680110468175,0.6171226799488068,0.6221423195797378,0.6121030403178758,1.0276489734649659,1.032458838791885,1.0228391081380468
