iter,data_noise_weight_0.1_mean,data_noise_weight_0.1_upper,data_noise_weight_0.1_lower,data_noise_weight_0.5_mean,data_noise_weight_0.5_upper,data_noise_weight_0.5_lower,data_noise_weight_1.0_mean,data_noise_weight_1.0_upper,data_noise_weight_1.0_lower,data_noise_weight_1.5_mean,data_noise_weight_1.5_upper,data_noise_weight_1.5_lower
59,0.2766854137182236,0.2811734954129166,0.2721973320235306,0.4063146531581879,0.41049194977056114,0.4021373565458146,0.8622011840343475,0.8688228344385557,0.8555795336301394,1.6170293927192687,1.623696742748305,1.6103620426902323
60,0.272274786233902,0.2765468992483288,0.2680026732194752,0.4028934508562088,0.4070974737241525,0.3986894279882651,0.8599078238010407,0.8670333769677638,0.8527822706343176,1.6168317794799805,1.6246572566637858,1.6090063022961751
61,0.2642097666859627,0.2679922946200202,0.26042723875190515,0.39669487774372103,0.40054915662153245,0.3928405988659096,0.8495702922344208,0.8552345731798343,0.8439060112890073,1.6080979585647583,1.6129830004569057,1.603212916672611
62,0.26050198674201963,0.2646653210696053,0.256338652414434,0.3939123570919037,0.39807064144606985,0.38975407273773754,0.8480736255645752,0.8525981190644566,0.8435491320646938,1.6057342410087585,1.612404605813499,1.599063876204018
63,0.2537791803479194,0.25820090539337515,0.24935745530246364,0.3877440571784973,0.39178979857358687,0.38369831578340774,0.8433854758739472,0.8471174235066139,0.8396535282412805,1.6039928197860718,1.6113287784116987,1.5966568611604448
64,0.24920163452625274,0.2530910437709803,0.24531222528152516,0.38475307524204255,0.3883910023629518,0.3811151481211333,0.8403986811637878,0.8445765298758231,0.8362208324517525,1.600698471069336,1.607931023619902,1.5934659185187698
65,0.2466645732522011,0.2512414057722709,0.2420877407321313,0.3824331194162368,0.38722823498047526,0.37763800385199836,0.8377880871295929,0.8432591760886834,0.8323169981705023,1.5942266225814818,1.603704733392992,1.5847485117699718
66,0.24358856528997422,0.24858581459406706,0.23859131598588137,0.37950883209705355,0.3845038429962907,0.3745138211978164,0.8336849093437195,0.8398421085824805,0.8275277101049585,1.5912060022354126,1.60188077212338,1.5805312323474452
67,0.239937224984169,0.245111645267789,0.234762804700549,0.3754966616630554,0.3803129789482781,0.3706803443778327,0.831623238325119,0.8378974651398736,0.8253490115103643,1.589972186088562,1.5990633306480082,1.580881041529116
68,0.23771749287843705,0.24255011436652668,0.23288487139034741,0.37246871888637545,0.3770178448872758,0.3679195928854751,0.8313392877578736,0.8371107976858332,0.825567777829914,1.590517795085907,1.5978544278814588,1.5831811622903553
69,0.23518555909395214,0.239180474602617,0.2311906435852873,0.36928967535495755,0.3733686400449805,0.3652107106649346,0.8253947854042053,0.8318074736745061,0.8189820971339045,1.5865065813064576,1.595123442982105,1.5778897196308102
70,0.2338087424635887,0.23778090322527387,0.22983658170190355,0.3695975661277771,0.37422371157855355,0.36497142067700067,0.825561112165451,0.833289488918844,0.817832735412058,1.5872715830802917,1.5967664295560613,1.5777767366045221
71,0.23334042876958846,0.23743256571126062,0.2292482918279163,0.36971046030521393,0.37438457853557533,0.3650363420748525,0.8282573878765106,0.8348199302626701,0.8216948454903511,1.584089207649231,1.593148346924857,1.575030068373605
72,0.2317637547850609,0.2358657698795814,0.22766173969054038,0.36798791885375975,0.3734981076374518,0.3624777300700677,0.8293178856372834,0.8366797733763457,0.821955997898221,1.5873401761054993,1.5972217141199778,1.5774586380910207
73,0.2296992868185043,0.23331277255700258,0.226085801080006,0.36540505588054656,0.3698390487631806,0.36097106299791254,0.8240448713302613,0.8308880880299154,0.8172016546306071,1.587100124359131,1.5972123275955867,1.5769879211226752
74,0.22910679429769515,0.23295458695838533,0.22525900163700496,0.36401495337486267,0.3685019751595177,0.35952793159020763,0.8227334856987,0.8305337605213327,0.8149332108760673,1.5869032740592957,1.5971743566877812,1.5766321914308101
75,0.22655833512544632,0.22968458543858591,0.22343208481230672,0.36133762896060945,0.36598015892675695,0.35669509899446195,0.819314593076706,0.8258669884100065,0.8127621977434054,1.586713445186615,1.5960975096383447,1.5773293807348852
76,0.22586746215820314,0.2283572590763126,0.22337766524009367,0.3595155328512192,0.363025464550066,0.35600560115237234,0.8164197385311127,0.8215542900100603,0.8112851870521651,1.58184312582016,1.5898372246693446,1.5738490269709753
77,0.2248468622565269,0.22748892954720523,0.22220479496584855,0.3584166616201401,0.362239484226174,0.3545938390141061,0.8120018303394317,0.817840867175328,0.8061627935035355,1.5763938426971436,1.584821698857084,1.567965986537203
78,0.22191472053527833,0.22481616566043092,0.21901327541012575,0.35742769241333006,0.36053742929399674,0.3543179555326634,0.80955291390419,0.8154378332818124,0.8036679945265677,1.5733581185340881,1.5818984960848868,1.5648177409832895
79,0.2195104897022247,0.222063732318302,0.2169572470861474,0.35547198057174684,0.35844448789787037,0.3524994732456233,0.8094218075275421,0.8149600853314279,0.8038835297236563,1.569817578792572,1.5762842335602574,1.5633509240248868
80,0.21532535851001738,0.21836396729176366,0.2122867497282711,0.35223005414009095,0.3553441821065008,0.3491159261736811,0.8054760515689849,0.8108172004783822,0.8001349026595876,1.5708299636840821,1.578820949973253,1.5628389773949112
81,0.21272394508123393,0.21587543231316203,0.20957245784930584,0.3482466131448746,0.35124918486544454,0.34524404142430465,0.80329350233078,0.8083444826082854,0.7982425220532746,1.5676197290420533,1.5765545350103574,1.5586849230737492
82,0.21156370788812637,0.21466791560175638,0.20845950017449635,0.34783984422683717,0.3511076933185982,0.34457199513507614,0.8072219252586365,0.8129380574158662,0.8015057931014067,1.5688227653503417,1.5770576950493664,1.560587835651317
83,0.2113372042775154,0.21500449834963,0.2076699102054008,0.3475387394428253,0.3513582105831844,0.34371926830246624,0.805899840593338,0.8117600899732381,0.8000395912134378,1.5707419633865356,1.578040408030178,1.5634435187428932
