iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
29,0.5114103,6.700495719909668,0.6332689523696899,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
30,0.4788058,6.3960041999816895,0.6013084053993225,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
31,0.44954956,6.103702545166016,0.5704963207244873,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
32,0.42344078,5.855926513671875,0.5440270304679871,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
33,0.39955184,5.606558799743652,0.5178807973861694,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
34,0.37849626,5.391484260559082,0.49464306235313416,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
35,0.35953155,5.189675331115723,0.47297579050064087,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
36,0.34291992,5.010427951812744,0.45383697748184204,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
37,0.32741284,4.816561698913574,0.43341687321662903,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
38,0.31333014,4.656530380249023,0.4161163568496704,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
39,0.30075586,4.514346122741699,0.4009245038032532,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
40,0.28919253,4.3820977210998535,0.38670241832733154,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
41,0.2784829,4.262833118438721,0.37372884154319763,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
42,0.26880133,4.142902374267578,0.36052754521369934,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
43,0.25995183,4.037985801696777,0.34911617636680603,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
44,0.2515782,3.935030937194824,0.3380846381187439,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
45,0.2441277,3.826355457305908,0.32645678520202637,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
46,0.23733586,3.730522632598877,0.31601497530937195,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
47,0.2307696,3.6368279457092285,0.30590587854385376,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
48,0.2249621,3.5505900382995605,0.296534925699234,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
49,0.21963221,3.4736881256103516,0.2882213890552521,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
50,0.21454832,3.4084346294403076,0.2810140550136566,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
51,0.20986025,3.349454402923584,0.27452024817466736,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
52,0.2056042,3.29093074798584,0.267973929643631,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
53,0.20163703,3.2451162338256836,0.26289230585098267,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
54,0.19775312,3.189100503921509,0.2568402886390686,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
55,0.19420649,3.13211727142334,0.25053027272224426,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
56,0.19118218,3.0973148345947266,0.2470082938671112,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
