iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
30,0.37008169293403625,0.372444945445822,0.3677184404222505,2.0473079919815063,2.0514828479610707,2.043133136001942,2.9867544174194336,2.9942826459628624,2.9792261888760048,4.65446457862854,4.668458802618323,4.640470354638756
31,0.3402074724435806,0.34268243673388754,0.3377325081532737,1.950011134147644,1.953917349394351,1.9461049189009372,2.91695122718811,2.9245247509195402,2.90937770345668,4.603151130676269,4.618618608878036,4.587683652474503
32,0.31250837445259094,0.3148153401889168,0.31020140871626506,1.8594522833824159,1.8631233525995334,1.8557812141652983,2.853603482246399,2.8606570661545825,2.8465498983382154,4.546628952026367,4.560992060498335,4.532265843554399
33,0.28693355023860934,0.2892457404463907,0.284621360030828,1.7740263104438783,1.7778718108444767,1.7701808100432799,2.795939803123474,2.8032445588604267,2.7886350473865216,4.4927760601043705,4.5069577726563,4.478594347552441
34,0.2625115305185318,0.2646021963769591,0.26042086466010456,1.6916839838027955,1.6948958338491273,1.6884721337564637,2.7353536605834963,2.743989051999014,2.7267182691679785,4.435876321792603,4.451600615632024,4.420152027953182
35,0.24036863893270488,0.2422878005623931,0.23844947730301666,1.6124973058700562,1.6157689999898037,1.6092256117503088,2.6789564371109007,2.6867018262283535,2.671211047993448,4.383269882202148,4.398397215045455,4.368142549358841
36,0.2200540453195572,0.221732326404395,0.21837576423471938,1.5388124585151672,1.5421605262849951,1.5354643907453394,2.6227614402771,2.630387204831796,2.6151356757224034,4.333045959472656,4.349021229288329,4.317070689656983
37,0.20145588070154186,0.20289082525581595,0.20002093614726776,1.4699521899223327,1.473222155248019,1.4666822245966464,2.5696494340896607,2.576780105783031,2.5625187623962904,4.28396782875061,4.299240432046267,4.268695225454953
38,0.18443320393562318,0.18578100978395679,0.18308539808728957,1.4022734403610229,1.4052091611736326,1.3993377195484131,2.5197243452072144,2.5270210181677126,2.5124276722467163,4.238031911849975,4.25323140062266,4.222832423077291
39,0.16870817989110942,0.1700305177349727,0.16738584204724613,1.3373560547828673,1.34002592335731,1.3346861862084247,2.4681854248046875,2.474298481446903,2.462072368162472,4.188862609863281,4.205238186316686,4.172487033409876
40,0.15422012954950332,0.1555025675003846,0.15293769159862203,1.2763601779937743,1.2790865924104537,1.273633763577095,2.4171621799468994,2.4221762746803965,2.4121480852134023,4.137505006790161,4.152429459729652,4.12258055385067
41,0.14102032184600827,0.14221255633809496,0.13982808735392158,1.2184027791023255,1.2211362352947492,1.2156693229099018,2.367826819419861,2.3728615057040225,2.362792133135699,4.089532899856567,4.105206509246089,4.073859290467046
42,0.1286514230072498,0.12977252933573483,0.12753031667876477,1.1642820477485656,1.1664548678210194,1.1621092276761118,2.324282717704773,2.33035524339811,2.318210192011436,4.042893648147583,4.058757301327492,4.027029994967674
43,0.1175451554358005,0.11864988435191681,0.1164404265196842,1.1115033268928527,1.113406905751888,1.1095997480338173,2.2808252334594727,2.2866401980305984,2.275010268888347,3.9973592281341555,4.013417546056117,3.9813009102121932
44,0.10718857795000072,0.10817466799774822,0.10620248790225323,1.061579430103302,1.0638180767002003,1.0593407835064035,2.2353350162506103,2.241169206218276,2.2295008262829445,3.952643036842346,3.9687495116658833,3.936536562018809
45,0.09758985489606853,0.09851896695939133,0.09666074283274573,1.0133747339248658,1.0159097172656275,1.010839750584104,2.190309929847717,2.196018412033572,2.184601447661862,3.90915904045105,3.924839812299661,3.893478268602439
46,0.08870557099580761,0.08956461442195274,0.08784652756966249,0.9685912489891052,0.9706344344831294,0.966548063495081,2.1475939035415648,2.1529240529648415,2.142263754118288,3.8633213520050047,3.8797735142986287,3.8468691897113807
47,0.08066278249025338,0.08147915816570428,0.07984640681480248,0.9249805271625519,0.9269270197730488,0.9230340345520549,2.1033815145492554,2.1084297577414373,2.0983332713570735,3.82548668384552,3.8415481364682615,3.8094252312227783
48,0.07323037981986996,0.07398985716631593,0.072470902473424,0.8846725344657898,0.8865442278364107,0.8828008410951688,2.0615285634994507,2.0671506442955554,2.055906482703346,3.781606411933899,3.7971199215807383,3.7660929022870597
49,0.06650800183415409,0.06718931246243216,0.06582669120587602,0.8457583785057068,0.8474247950439247,0.8440919619674889,2.0214081525802614,2.0270625958448063,2.0157537093157165,3.739138698577881,3.7542136099563814,3.7240637871993805
50,0.06036230921745295,0.06100862484399533,0.059715993590910565,0.8081819653511048,0.810094159483807,0.8062697712184025,1.9825508832931518,1.9884770613319676,1.976624705254336,3.700065183639526,3.71452841241269,3.6856019548663626
51,0.05450943261384959,0.05508718322274072,0.053931682004958466,0.772863107919693,0.7747124685414423,0.7710137472979438,1.9452664017677308,1.9512981690023579,1.9392346345331037,3.6567927598953247,3.671537099326257,3.6420484204643926
52,0.04931248910725111,0.049855784433237474,0.04876919378126475,0.7398204982280732,0.7414529579595633,0.738188038496583,1.907563328742981,1.9137262413655374,1.9014004161204245,3.616832995414734,3.6323471158372476,3.60131887499222
53,0.0445391688495874,0.04506377419582904,0.044014563503345754,0.7076618134975433,0.7094423447053719,0.7058812822897147,1.8709908962249755,1.8772902503028597,1.8646915421470913,3.579071521759033,3.5958080098700482,3.562335033648018
54,0.040265828371047925,0.04072880846709028,0.03980284827500557,0.6770528733730317,0.6785993030188819,0.6755064437271814,1.836255669593811,1.8419876239652297,1.8305237152223923,3.537677049636841,3.5551214742100568,3.520232625063625
55,0.03628851398825639,0.03672234765397843,0.035854680322534346,0.6473282396793365,0.6488251420123097,0.6458313373463633,1.8020269751548768,1.8082030426289282,1.7958509076808253,3.4984113454818724,3.516174404150986,3.480648286812759
56,0.032692556083202304,0.03306852554370047,0.03231658662270414,0.6195358574390412,0.6212567074671088,0.6178150074109735,1.7664500713348388,1.7725482806798196,1.760351861989858,3.458637309074402,3.4759840670111126,3.4412905511376914
57,0.029294748045504037,0.02964057813863496,0.028948917952373115,0.5928865790367126,0.5945307383404131,0.5912424197330121,1.7316763043403625,1.7375851354033236,1.7257674732774013,3.421383762359619,3.4376446320652225,3.4051228926540156
58,0.026303807273507063,0.02661794906090131,0.025989665486112815,0.5673522531986237,0.5688131890367105,0.5658913173605369,1.695045578479767,1.7012578424902267,1.688833314469307,3.3828031063079833,3.3987235143916843,3.3668826982242823
59,0.023623609915375657,0.02389645171112398,0.023350768119627333,0.5432647705078125,0.5446713323409957,0.5418582086746293,1.6633748054504394,1.6695657657603986,1.6571838451404801,3.346557354927063,3.3632955914164246,3.3298191184377015
