iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
57,0.5928865849971772,0.5945307405076872,0.5912424294866672,0.2985733836889267,0.2994433541213485,0.29770341325650496,0.24036316871643063,0.24096125629017875,0.2397650811426825,0.24031587988138198,0.24105861165102824,0.23957314811173572
58,0.5673522651195526,0.568813195881336,0.5658913343577692,0.2871814131736755,0.28808389441435434,0.2862789319329967,0.23456040918827056,0.23512306450314802,0.2339977538733931,0.23569408804178232,0.23645815843315282,0.23493001765041183
59,0.5432647585868835,0.5446713195013925,0.5418581976723745,0.2762665510177612,0.27708019834445924,0.2754529036910632,0.22851452827453614,0.2290892395875476,0.22793981696152468,0.23149444162845612,0.2322479918392937,0.23074089141761853
60,0.5202730596065521,0.5215130239049827,0.5190330953081216,0.26630882620811464,0.26703361775868417,0.2655840346575451,0.22299916595220562,0.2235365632016923,0.22246176870271894,0.2271173700690269,0.22791042846023857,0.22632431167781525
61,0.49863111078739164,0.5000214748116151,0.49724074676316815,0.25666236579418183,0.2573746385926113,0.2559500929957524,0.21786974966526026,0.21845817203198706,0.21728132729853347,0.22309378087520595,0.22399783536775233,0.22218972638265957
62,0.47766609489917755,0.47903745171502377,0.47629473808333134,0.24779542684555053,0.24843608004499027,0.2471547736461108,0.21331211179494852,0.21387179609426898,0.21275242749562806,0.21933302134275431,0.220161071604141,0.21850497108136763
63,0.4576130509376526,0.4588401606984981,0.4563859411768071,0.23904122412204742,0.23960191833834468,0.23848052990575017,0.2087750867009163,0.20930862912420545,0.20824154427762714,0.21585502326488495,0.21659068590030112,0.2151193606294688
64,0.4388698160648346,0.44007262035792366,0.43766701177174555,0.23143405318260188,0.2320925973612396,0.23077550900396415,0.20472482293844219,0.20527956303106204,0.20417008284582233,0.21240082681179046,0.21312217154171267,0.21167948208186824
65,0.42112891376018524,0.422372592303171,0.4198852352171995,0.22393576651811595,0.22453952937180804,0.22333200366442385,0.20080489516258235,0.20130693524252116,0.20030285508264353,0.2093374401330948,0.2099400205796556,0.208734859686534
66,0.40378731191158296,0.40491718522793313,0.4026574385952328,0.21686874032020564,0.2173706416249774,0.21636683901543388,0.19681596010923383,0.19731753186464454,0.19631438835382312,0.20624495595693587,0.20680615952878714,0.2056837523850846
67,0.3880675703287125,0.389090261974457,0.38704487868296794,0.21034924685955048,0.21084974622550154,0.2098487474935994,0.19309180974960327,0.1935790650348678,0.19260455446433875,0.20304515957832336,0.20361540508898598,0.20247491406766074
68,0.37269237637519836,0.3737665951477952,0.37161815760260153,0.2045274183154106,0.20522727403250363,0.20382756259831758,0.18961677253246306,0.19017604497368182,0.1890575000912443,0.2000707745552063,0.20067650530540534,0.19946504380500726
69,0.3582365572452545,0.35933664774301954,0.35713646674748944,0.19870072603225705,0.19947456692400692,0.19792688514050719,0.1866448566317558,0.18718795465435217,0.18610175860915945,0.19739589840173719,0.19800095679918903,0.19679084000428534
70,0.34426206052303315,0.34546179804896454,0.34306232299710177,0.1932042807340622,0.19392600041220343,0.192482561055921,0.1837928086519241,0.1843529694636166,0.1832326478402316,0.1949141904711723,0.19552179623658272,0.1943065847057619
71,0.33177739977836607,0.3327897765169543,0.33076502303977784,0.18783508539199828,0.18851859372116037,0.1871515770628362,0.1809365168213844,0.18141797029334408,0.1804550633494247,0.1926247239112854,0.19323963251293858,0.19200981530963224
72,0.3189260631799698,0.3199715612504085,0.3178805651095311,0.1833093076944351,0.18404991458841594,0.18256870080045426,0.17823618054389953,0.178790380530964,0.17768198055683507,0.19028861224651333,0.1909167919797089,0.18966043251331777
73,0.3064990401268005,0.3075740384102894,0.3054240418433116,0.17884967327117915,0.17963912905041546,0.17806021749194284,0.17575714886188504,0.1762871578892527,0.17522713983451738,0.1884508192539215,0.18912009394739532,0.18778154456044766
