iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
48,0.8829060614109039,0.8845537681198385,0.8812583547019692,0.8820977151393891,0.8843786122537572,0.8798168180250209,0.8936393857002258,0.8970862172017644,0.8901925541986873,0.9385033249855042,0.940936074525636,0.9360705754453723
49,0.8443652749061584,0.8458125134211384,0.8429180363911785,0.8435986518859864,0.8454688689212819,0.8417284348506908,0.8558591802914938,0.8589013473562707,0.8528170132267169,0.9026474297046662,0.9051649238329752,0.9001299355763571
50,0.8071910500526428,0.808789269984051,0.8055928301212346,0.8066095411777496,0.8086015118672704,0.8046175704882289,0.8196300665537516,0.8220342284607799,0.8172259046467233,0.8692363381385804,0.8716529928845296,0.8668196833926312
51,0.7720241069793701,0.7736552011231456,0.7703930128355946,0.7717051327228546,0.7737670028495087,0.7696432625962004,0.7860380013783773,0.7881715572530607,0.783904445503694,0.8377028942108155,0.8402583202775507,0.8351474681440803
52,0.7379517436027527,0.739610665126548,0.7362928220789574,0.7394749879837036,0.7413246332949818,0.7376253426724254,0.7550222675005595,0.757199470298206,0.7528450647029129,0.8074066162109375,0.809615011326516,0.8051982210953589
53,0.7061553001403809,0.707634628663238,0.7046759716175237,0.7077081024646759,0.7098218808570327,0.705594324072319,0.7247053782145182,0.726701934332462,0.7227088220965744,0.7778655350208282,0.7798363838963742,0.7758946861452822
54,0.6758378684520722,0.6772219191374569,0.6744538177666874,0.6773953557014465,0.6794450105181662,0.6753457008847268,0.6958400011062622,0.6985364497004446,0.6931435525120798,0.7492146015167236,0.7511927939376536,0.7472364090957936
55,0.6468991160392761,0.6482985969784018,0.6454996351001504,0.6488367915153503,0.6507565911731226,0.6469169918575781,0.6667419870694479,0.6693713715076252,0.6641126026312706,0.7224438488483429,0.7244081863116286,0.7204795113850572
56,0.6191716194152832,0.6208691121571308,0.6174741266734356,0.6215092360973358,0.6235574110277794,0.6194610611668921,0.641731858253479,0.6450439702795606,0.6384197462273974,0.6982521891593934,0.7006936145004099,0.6958107638183768
57,0.592533540725708,0.5941080853450302,0.5909589961063857,0.596140718460083,0.5979937175965179,0.5942877193236481,0.6197571555773417,0.6234985330294496,0.6160157781252338,0.6749877035617828,0.6772122963780338,0.6727631107455319
