iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
18,4.055279057423274,1.432334065437317,14.875288009643555,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
19,3.615155159632365,1.3172614574432373,13.725896835327148,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
20,3.230579989353816,1.2191234827041626,12.767824172973633,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
21,2.9954790472984314,1.1498167514801025,12.111128807067871,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
22,2.785150475303332,1.0740326642990112,11.367029190063477,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
23,2.540422237912814,1.003712773323059,10.670511245727539,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
24,2.34293979426225,0.9390667080879211,10.02495288848877,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
25,2.1966643088062603,0.8870065808296204,9.502799034118652,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
26,2.0562693802515666,0.8360260725021362,9.013851165771484,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
27,1.9289438235759735,0.7907414436340332,8.564672470092773,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
28,1.806736984749635,0.7465783953666687,8.133511543273926,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
29,1.6948770403862,0.7149214744567871,7.832564353942871,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
30,1.6038095862666766,0.677780270576477,7.4591569900512695,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
31,1.5386680032809574,0.6493940949440002,7.181421279907227,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
32,1.5119262915849685,0.6256067752838135,6.946067810058594,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
33,1.4349469878772894,0.5817405581474304,6.5129075050354,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
34,1.3586515761911868,0.5511015057563782,6.193084239959717,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
35,1.2660364967087905,0.5200390219688416,5.893006801605225,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
36,1.1951335856318475,0.4927303194999695,5.6152849197387695,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
37,1.178225939621528,0.4802738428115845,5.502469062805176,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
38,1.1239075365662574,0.4635700583457947,5.333034515380859,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
39,1.0579851395388444,0.44133520126342773,5.105593204498291,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
40,1.054736236433188,0.4327819347381592,5.017146110534668,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
41,1.030140096793572,0.41542550921440125,4.84291410446167,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
42,1.0117647012074789,0.4037476181983948,4.726698875427246,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
43,1.0083901637792587,0.3961678743362427,4.657598495483398,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
44,0.9590491216878096,0.37675049901008606,4.479025363922119,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
45,0.9717996971309185,0.3694498538970947,4.421236038208008,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
46,0.9521447293460369,0.3615877032279968,4.335794448852539,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
47,0.9463854307929674,0.35249409079551697,4.2602105140686035,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
