iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
23,3.82758514881134,1.4612239599227905,16.03669548034668,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
24,3.59205770611763,1.4144785404205322,15.468109130859375,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
25,3.355586810906728,1.3499598503112793,14.803647994995117,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
26,3.190192470550537,1.3089758157730103,14.270915031433105,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
27,2.9994075004259746,1.259353756904602,13.745317459106445,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
28,2.8165555330117544,1.2134387493133545,13.121795654296875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
29,2.752877475619316,1.1944044828414917,12.827691078186035,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
30,2.608199457724889,1.1568328142166138,12.337435722351074,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
31,2.508336445093155,1.1428402662277222,12.02717113494873,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
32,2.385991998910904,1.1138981580734253,11.644647598266602,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
33,2.282956602772077,1.093926191329956,11.377180099487305,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
34,2.2037650988499324,1.0724234580993652,11.033256530761719,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
35,2.160629686911901,1.0456513166427612,10.737975120544434,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
36,2.1221311889092127,1.0257549285888672,10.49661636352539,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
37,2.084134378035863,1.0177737474441528,10.399097442626953,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
38,2.0430689720312754,1.0181342363357544,10.335841178894043,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
39,2.001015884280205,1.0039267539978027,10.14569091796875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
40,1.9391176599264144,0.9750033617019653,9.834656715393066,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
41,1.8943550288677216,0.9548100829124451,9.601022720336914,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
42,1.90321861465772,0.9532854557037354,9.473003387451172,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
43,1.8890571292241414,0.9480299353599548,9.408113479614258,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
44,1.849403221209844,0.9474028944969177,9.275927543640137,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
45,1.8163865300019582,0.9272421598434448,9.128253936767578,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
46,1.7724823129177094,0.9202360510826111,8.961000442504883,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
47,1.794018993973732,0.9113489985466003,8.857250213623047,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
