iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
29,27.353905498021152,109.42484942009341,3,150,10,500,10,1.0,0,5,0.05,30,200
30,27.367044616342646,109.80473227526825,3,150,10,500,10,1.0,0,5,0.05,30,200
31,28.870171014357723,108.87579724503487,3,150,10,500,10,1.0,0,5,0.05,30,200
32,28.488269675684133,108.26014634605376,3,150,10,500,10,1.0,0,5,0.05,30,200
33,28.741657640716475,106.53244656205676,3,150,10,500,10,1.0,0,5,0.05,30,200
34,28.375052114020836,106.256231246048,3,150,10,500,10,1.0,0,5,0.05,30,200
35,28.999324731758236,106.21226597212471,3,150,10,500,10,1.0,0,5,0.05,30,200
36,29.27137484204188,106.03247755843863,3,150,10,500,10,1.0,0,5,0.05,30,200
37,30.236909304040733,105.83822413872335,3,150,10,500,10,1.0,0,5,0.05,30,200
38,30.413832766982487,105.92901251233143,3,150,10,500,10,1.0,0,5,0.05,30,200
39,32.787656691692256,103.50904733804443,3,150,10,500,10,1.0,0,5,0.05,30,200
40,33.330710218675726,105.64362351138614,3,150,10,500,10,1.0,0,5,0.05,30,200
41,32.79618280553646,107.28505733093854,3,150,10,500,10,1.0,0,5,0.05,30,200
42,32.909711124384245,106.31362693225066,3,150,10,500,10,1.0,0,5,0.05,30,200
43,33.03783706209893,105.73795295990448,3,150,10,500,10,1.0,0,5,0.05,30,200
44,32.659431705695944,104.32170363954117,3,150,10,500,10,1.0,0,5,0.05,30,200
45,33.37859579218703,103.3222772084384,3,150,10,500,10,1.0,0,5,0.05,30,200
46,34.3172757979718,102.65373638424647,3,150,10,500,10,1.0,0,5,0.05,30,200
47,36.485735222115956,104.5134729891151,3,150,10,500,10,1.0,0,5,0.05,30,200
48,36.02420235361339,103.06848075376367,3,150,10,500,10,1.0,0,5,0.05,30,200
49,34.92740142173527,104.39408538252873,3,150,10,500,10,1.0,0,5,0.05,30,200
50,36.25010997445739,104.34612214539,3,150,10,500,10,1.0,0,5,0.05,30,200
51,35.987769065456526,103.6022168318612,3,150,10,500,10,1.0,0,5,0.05,30,200
52,36.50985074488842,103.05079198863037,3,150,10,500,10,1.0,0,5,0.05,30,200
53,38.54910505611691,103.19658081675294,3,150,10,500,10,1.0,0,5,0.05,30,200
54,37.638341512426386,101.69718549189346,3,150,10,500,10,1.0,0,5,0.05,30,200
55,37.210746693081475,103.90693074989387,3,150,10,500,10,1.0,0,5,0.05,30,200
56,36.47217380899808,102.92851415452157,3,150,10,500,10,1.0,0,5,0.05,30,200
57,37.38163986508003,103.447316777012,3,150,10,500,10,1.0,0,5,0.05,30,200
58,36.4403485181324,101.89861917834592,3,150,10,500,10,1.0,0,5,0.05,30,200
59,36.911805065127,101.19592061528722,3,150,10,500,10,1.0,0,5,0.05,30,200
60,38.694892279719355,103.44077819426188,3,150,10,500,10,1.0,0,5,0.05,30,200
61,39.29663734716219,102.69703482055522,3,150,10,500,10,1.0,0,5,0.05,30,200
62,38.695910281738584,102.22732063315259,3,150,10,500,10,1.0,0,5,0.05,30,200
63,39.190243809334945,102.99194211428484,3,150,10,500,10,1.0,0,5,0.05,30,200
64,39.310191737137195,102.05683735154349,3,150,10,500,10,1.0,0,5,0.05,30,200
65,39.16898255215758,101.26418265890437,3,150,10,500,10,1.0,0,5,0.05,30,200
66,39.79881433372716,102.8422530237579,3,150,10,500,10,1.0,0,5,0.05,30,200
67,39.727702260126506,101.55635880209914,3,150,10,500,10,1.0,0,5,0.05,30,200
68,40.737135783272855,102.13042677950847,3,150,10,500,10,1.0,0,5,0.05,30,200
69,40.57226282404686,103.33661864304837,3,150,10,500,10,1.0,0,5,0.05,30,200
