iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
38,0.017478209959032636,0.36866673827171326,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
39,0.046758471677700676,0.36233335733413696,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
40,0.028377815091516823,0.3670000433921814,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
41,0.012435575597919524,0.37054169178009033,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
42,0.02148832557334875,0.3669167160987854,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
43,0.025128927586289745,0.3684167265892029,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
44,0.02290544336816917,0.3694167137145996,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
45,0.011491106687268863,0.36908334493637085,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
46,0.020009694252318393,0.3692500591278076,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
47,0.01620359130902216,0.3640833795070648,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
48,0.012090344990914067,0.3671250343322754,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
49,0.029255623114295304,0.36775004863739014,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
