iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
108,0.013277717,0.00884404,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
109,0.012738525,0.00837213,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
110,0.0121946875,0.008313636,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
111,0.0116982125,0.0078017605,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
112,0.011224181,0.007206659,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
113,0.010811412,0.0069922097,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
114,0.010463637,0.006223527,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
115,0.010078837,0.005945849,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
116,0.009798315,0.005823069,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
117,0.009416106,0.0057714717,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
118,0.009114993,0.0058333087,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
119,0.008820351,0.0057160826,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
120,0.008497793,0.005398716,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
121,0.008219945,0.0052306736,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
122,0.00793877,0.0048838765,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
123,0.0076895016,0.0048694527,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
124,0.0074135475,0.004420349,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
125,0.0071739643,0.0043861265,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
126,0.0068955445,0.004408601,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
127,0.0066232355,0.0043847873,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
128,0.0063549825,0.0043364624,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
129,0.0061035454,0.0042067003,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
130,0.005887855,0.003674122,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
131,0.0057181125,0.0034173047,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
132,0.0055103814,0.00319967,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
133,0.0053405464,0.003144498,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
134,0.005180569,0.0031451772,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
135,0.0050113783,0.002906808,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
136,0.0048461678,0.0029196155,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
137,0.004665825,0.002858526,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
138,0.0044810683,0.0029313567,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
139,0.0042630844,0.0028959233,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
140,0.0041076373,0.0027173704,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
141,0.0039034863,0.0025301073,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
142,0.0037667586,0.0023395547,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
143,0.0036442727,0.0023775673,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
144,0.0035087317,0.0021625515,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
145,0.0033802807,0.002111373,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
146,0.0032643275,0.0021175046,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
147,0.0031554818,0.0019392133,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
148,0.0030141962,0.0017368621,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
149,0.0029203098,0.0016338822,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
150,0.0027990623,0.0015830861,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
151,0.0026880847,0.0015835213,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
152,0.0025901052,0.0015477698,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
153,0.0025005646,0.0014917041,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
154,0.0024120715,0.0013858518,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
155,0.0023199164,0.0013152083,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
156,0.0022190786,0.0012903793,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
157,0.0021328349,0.0012527846,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
158,0.0020603044,0.0011510877,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
159,0.0019921442,0.0011369262,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
160,0.0019156364,0.0010967748,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
161,0.001846711,0.0010084142,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
162,0.00177914,0.0009395871,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
163,0.0017222442,0.0009340982,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
164,0.0016732599,0.00089364627,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
165,0.0016221282,0.0008913425,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
166,0.0015664791,0.00083041616,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
167,0.0015117668,0.0008382885,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
168,0.0014616202,0.00081079965,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
169,0.0014200222,0.0008157386,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
170,0.0013739349,0.0008177763,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
171,0.0013275933,0.00080354355,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
172,0.0012760566,0.00078502216,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
173,0.0012311345,0.0007481878,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
174,0.0011869954,0.00068393187,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
