iter,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower,algo_S_20.0_mean,algo_S_20.0_upper,algo_S_20.0_lower,algo_S_30.0_mean,algo_S_30.0_upper,algo_S_30.0_lower,algo_S_50.0_mean,algo_S_50.0_upper,algo_S_50.0_lower
20,3.940096855163574,3.947914244487002,3.9322794658401463,3.481769895553589,3.488405564475107,3.475134226632071,3.333558440208435,3.3395277250547037,3.3275891553621664,3.2069180011749268,3.215319625806611,3.1985163765432425
21,3.770472288131714,3.778115729900539,3.762828846362889,3.31909294128418,3.3250969681520646,3.313088914416295,3.1719806671142576,3.1774507153650644,3.166510618863451,3.0490285669054304,3.056477948539132,3.041579185271729
22,3.608483076095581,3.6155789872282913,3.601387164962871,3.1631963729858397,3.169143050008337,3.1572496959633423,3.0203530311584474,3.025216982165887,3.0154890801510077,2.9013218539101735,2.908861483367309,2.893782224453038
23,3.4565725564956664,3.46319822057234,3.4499468924189927,3.0159522771835325,3.0212922164995,3.010612337867565,2.8751848459243776,2.880278929871132,2.870090761977623,2.75848879132952,2.7652849179936343,2.7516926646654056
24,3.3077265501022337,3.3142994327519513,3.301153667452516,2.8736250162124635,2.8790292428649615,2.8682207895599654,2.7377939462661742,2.7429696752511914,2.732618217281157,2.6243109021868025,2.6313440285966925,2.6172777757769126
25,3.16497642993927,3.171882403634871,3.1580704562436694,2.7406092166900633,2.746158963670054,2.7350594697100727,2.6072940826416016,2.6126074520375666,2.6019807132456365,2.4970288957868303,2.5036489294779454,2.490408862095715
26,3.030265235900879,3.036487406710293,3.0240430650914645,2.614723062515259,2.6199582480866486,2.609487876943869,2.4848917007446287,2.4898929932121923,2.479890408277065,2.3770982878548756,2.383350878200673,2.370845697509078
27,2.9035284757614135,2.9093332622166863,2.8977236893061407,2.492853283882141,2.497696090816367,2.4880104769479154,2.3663338899612425,2.3708123067009677,2.3618554732215173,2.2625507286616733,2.2692604954518956,2.255840961871451
28,2.783049964904785,2.7883085254990494,2.7777914043105207,2.3786049365997313,2.382611449500401,2.3745984236990614,2.255798840522766,2.2603956500295257,2.2512020310160064,2.1538559709276472,2.1600153853969593,2.1476965564583352
29,2.665777802467346,2.6710681918736268,2.6604874130610656,2.2685150861740113,2.272537901044596,2.2644922713034266,2.1480238914489744,2.1524648974008675,2.1435828854970813,2.0508906841278076,2.0564889511152957,2.0452924171403195
30,2.5543846130371093,2.559178071634027,2.5495911544401917,2.1652642726898192,2.169635464202651,2.1608930811769875,2.0477381467819216,2.0519377925555937,2.0435385010082494,1.9538942234856742,1.9592612721904672,1.9485271747808812
31,2.4492953300476072,2.454822800476421,2.4437678596187933,2.065715265274048,2.0697170797782527,2.0617134507698434,1.9516802072525024,1.9560849986682423,1.9472754158367624,1.8604368482317244,1.8659838549877328,1.854889841475716
32,2.3501660108566282,2.3559455253887958,2.3443864963244607,1.9733500599861145,1.9770338435384265,1.9696662764338024,1.8602237462997437,1.8640481644485918,1.8563993281508957,1.773727399962289,1.7791012942804545,1.7683535056441233
33,2.252454137802124,2.25791321799908,2.2469950576051683,1.8839117527008056,1.8877420428723652,1.880081462529246,1.7743213057518006,1.7781931445834067,1.7704494669201944,1.6897327899932861,1.6941677109172917,1.6852978690692806
34,2.1577423572540284,2.162858819374745,2.152625895133312,1.7994110941886903,1.8034140672170849,1.7954081211602957,1.6927353620529175,1.6962723436178408,1.6891983804879942,1.6112476246697562,1.616152454934225,1.6063427944052875
35,2.0684247732162477,2.0735731980479644,2.063276348384531,1.718968939781189,1.7225937861644836,1.7153440933978943,1.6145859241485596,1.6177697216960232,1.611402126601096,1.537085907799857,1.541484489992602,1.5326873256071123
36,1.9829424381256104,1.988133353355649,1.977751522895572,1.6415682077407836,1.6449801832985635,1.6381562321830037,1.5389306664466857,1.5419339604002638,1.5359273724931077,1.464479889188494,1.4696119527272224,1.4593478256497656
37,1.901331377029419,1.9057657625275068,1.896896991531331,1.5671726584434509,1.5704240132300695,1.5639213036568322,1.469722282886505,1.47276442436543,1.46668014140758,1.3950470515659876,1.4002287104781204,1.389865392653855
38,1.8259127497673036,1.8307218980300988,1.8211036015045083,1.4981769680976869,1.5015830815861393,1.4947708546092344,1.4035985946655274,1.4069152890790566,1.4002819002519982,1.3302026987075806,1.3353470911647893,1.3250583062503718
39,1.7496206879615783,1.7548162955445332,1.7444250803786234,1.4309342741966247,1.4346193996126009,1.4272491487806485,1.3401825189590455,1.3437563505790602,1.3366086873390308,1.268386653491429,1.2733323530485485,1.2634409539343094
40,1.6805515885353088,1.684949667472777,1.6761535095978406,1.3665988087654113,1.3703417304344279,1.3628558870963947,1.2790274262428283,1.2824852590709885,1.275569593414668,1.2089465686253138,1.2141748221495703,1.2037183151010573
41,1.612797248363495,1.6165717707286846,1.6090227259983052,1.3064939975738525,1.3102411274575372,1.302746867690168,1.2219158053398131,1.2252214298409314,1.2186101808386949,1.1542812756129675,1.158361486393266,1.1502010648326688
42,1.5463683247566222,1.5502188384250934,1.542517811088151,1.2478888154029846,1.2511352066396135,1.2446424241663556,1.1671229362487794,1.1699215547276909,1.164324317769868,1.1011730773108346,1.1047090267099313,1.0976371279117378
43,1.4837175607681274,1.4875918696360892,1.4798432519001656,1.192775797843933,1.1963237878355146,1.1892278078523515,1.1148100733757018,1.117410961203476,1.1122091855479277,1.0514426571982247,1.0548491415057633,1.0480361728906862
44,1.4256200551986695,1.4297094887986184,1.4215306215987207,1.1415176033973693,1.1448090521011438,1.1382261546935948,1.065897274017334,1.0684500301691418,1.0633445178655263,1.004797305379595,1.007890828043147,1.0017037827160433
45,1.3688400030136108,1.373197605006819,1.3644824010204024,1.0910860538482665,1.094107212851444,1.088064894845089,1.0179972410202027,1.020536070173538,1.0154584118668675,0.9598738040242877,0.9628421916464713,0.956905416402104
46,1.3144012331962585,1.318245904633727,1.31055656175879,1.0433388113975526,1.0463546954091212,1.040322927385984,0.9724664628505707,0.9748786580083357,0.9700542676928057,0.9168633733476911,0.9193598097853799,0.9143669369100023
47,1.2621206879615783,1.2658350901919257,1.2584062857312308,0.9977497935295105,1.000734796937587,0.9947647901214339,0.92970010638237,0.9321407204393034,0.9272594923254366,0.8756597723279681,0.8777851208302604,0.8735344238256758
48,1.2132771849632262,1.2167949793263608,1.2097593906000916,0.9545463383197784,0.9575003034253661,0.9515923732141908,0.8870321929454803,0.8892582133988997,0.884806172492061,0.8352690764835903,0.8373216336075234,0.8332165193596571
49,1.1655938506126404,1.168297029716785,1.162890671508496,0.913252979516983,0.9160439785427339,0.9104619804912322,0.8473144710063935,0.8494703913305595,0.8451585506822274,0.7992069806371417,0.8012251370747039,0.7971888241995795
50,1.1185715079307557,1.1211662866717265,1.1159767291897849,0.8747587919235229,0.8777416083155088,0.871775975531537,0.8102744281291961,0.8122815688863915,0.8082672873720008,0.7641253130776542,0.7657788191667518,0.7624718069885565
51,1.075588548183441,1.07816678396492,1.073010312401962,0.8366639375686645,0.8394393606367756,0.8338885145005535,0.7743804216384887,0.7763892693999356,0.7723715738770419,0.729645311832428,0.7315933372482942,0.7276972864165617
52,1.0333303928375244,1.0361496539179897,1.030511131757059,0.8009826064109802,0.8036840181480878,0.7982811946738726,0.7405278980731964,0.7425083753760477,0.7385474207703451,0.697155943938664,0.6990087308139201,0.6953031570634078
53,0.9936800420284271,0.9965761580323902,0.990783926024464,0.7664738833904267,0.7690636632162303,0.763884103564623,0.7087399005889893,0.7107826700110637,0.7066971311669149,0.6661868861743382,0.6677746942482077,0.6645990781004687
54,0.9574460327625275,0.9604863012024625,0.9544057643225925,0.7345561385154724,0.7370404876605037,0.7320717893704412,0.6776784479618072,0.6798200217170527,0.6755368742065617,0.6373873012406486,0.6389136993632138,0.6358609031180833
