iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
46,5.009528,9.610028266906738,0.9617847800254822,3,150,10,500,10,0,0,10,False,0.01,30,1500
47,4.7371063,9.18630313873291,0.9176201820373535,3,150,10,500,10,0,0,10,False,0.01,30,1500
48,4.481185,8.788651466369629,0.876118004322052,3,150,10,500,10,0,0,10,False,0.01,30,1500
49,4.2452073,8.43398380279541,0.8389930129051208,3,150,10,500,10,0,0,10,False,0.01,30,1500
50,4.023281,8.075154304504395,0.801317572593689,3,150,10,500,10,0,0,10,False,0.01,30,1500
51,3.8091805,7.730804443359375,0.7651803493499756,3,150,10,500,10,0,0,10,False,0.01,30,1500
52,3.6090467,7.440094470977783,0.7344304919242859,3,150,10,500,10,0,0,10,False,0.01,30,1500
53,3.4176612,7.120559215545654,0.7007737755775452,3,150,10,500,10,0,0,10,False,0.01,30,1500
54,3.2411857,6.828183650970459,0.6699756979942322,3,150,10,500,10,0,0,10,False,0.01,30,1500
55,3.0811803,6.555703163146973,0.6410924792289734,3,150,10,500,10,0,0,10,False,0.01,30,1500
56,2.929217,6.2773823738098145,0.6118762493133545,3,150,10,500,10,0,0,10,False,0.01,30,1500
57,2.7816436,6.038012504577637,0.5862632393836975,3,150,10,500,10,0,0,10,False,0.01,30,1500
58,2.6460886,5.823506832122803,0.5633284449577332,3,150,10,500,10,0,0,10,False,0.01,30,1500
59,2.5180945,5.619656562805176,0.5414527654647827,3,150,10,500,10,0,0,10,False,0.01,30,1500
60,2.3983634,5.417291164398193,0.5198255777359009,3,150,10,500,10,0,0,10,False,0.01,30,1500
