iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
106,0.0078453235,0.013003433,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
107,0.0073423204,0.0121506015,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
108,0.006870302,0.011365991,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
109,0.006440895,0.010649016,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
110,0.006043141,0.0099783745,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
111,0.0056746607,0.009347584,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
112,0.005308837,0.008739774,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
113,0.004980774,0.0081931045,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
114,0.0046751015,0.007680395,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
115,0.0043932344,0.0072158,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
116,0.004130162,0.00678224,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
117,0.0038713242,0.006362857,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
118,0.003619969,0.005959785,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
119,0.003395007,0.0055874996,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
120,0.003183436,0.005221787,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
121,0.0029841957,0.00488602,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
122,0.002796193,0.004582031,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
123,0.002626742,0.004302008,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
124,0.0024655166,0.004035912,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
125,0.0023136681,0.0037806341,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
126,0.0021715923,0.0035479711,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
127,0.0020370835,0.0033284507,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
128,0.0019091952,0.003119491,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
