iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
71,1.4471399,0.31150001287460327,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
72,1.431737,0.3117000460624695,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
73,1.4282259,0.3083500266075134,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
74,1.4079999,0.31634998321533203,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
75,1.3998393,0.3088500201702118,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
76,1.3711308,0.311849981546402,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
77,1.380488,0.3080000579357147,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
78,1.3605614,0.31154999136924744,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
79,1.3504645,0.31005001068115234,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
80,1.3351861,0.3136000633239746,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
81,1.315559,0.31770002841949463,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
82,1.3162369,0.31255003809928894,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
83,1.2953875,0.31400004029273987,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
84,1.2739531,0.3136500120162964,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
85,1.247757,0.31345000863075256,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
86,1.2444527,0.3156500458717346,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
87,1.258903,0.3136000335216522,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
88,1.2306962,0.315900057554245,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
89,1.1969244,0.31620004773139954,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
90,1.1859753,0.3157999813556671,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
91,1.1716526,0.3211500346660614,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
92,1.1715803,0.3219500482082367,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
93,1.1681616,0.3181000351905823,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
94,1.1403289,0.32065001130104065,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
95,1.1219019,0.3147500455379486,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
96,1.1212124,0.3121499717235565,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
97,1.1033573,0.3117000162601471,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
98,1.0919858,0.31255003809928894,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
99,1.0525182,0.32295000553131104,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
100,1.0783027,0.3206000328063965,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
101,1.0428166,0.3175000250339508,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
102,1.0269542,0.3147500455379486,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
103,1.022845,0.31885001063346863,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
104,0.9957234,0.315900057554245,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
105,0.9994094,0.3163500428199768,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
106,0.98926336,0.3186500072479248,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
107,0.9834288,0.31905004382133484,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
108,0.9498218,0.3192499876022339,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
109,0.94788396,0.32210007309913635,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
110,0.9270673,0.3169500231742859,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
111,0.94642335,0.3165000379085541,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
112,0.8915535,0.3160499930381775,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
113,0.85749084,0.3201499879360199,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
114,0.8719222,0.32124999165534973,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
115,0.9061267,0.3193500339984894,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
116,0.8154396,0.32385000586509705,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
117,0.8412625,0.3207000195980072,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
118,0.8147119,0.3224000036716461,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
119,0.8019908,0.3215000033378601,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
120,0.81836236,0.31915003061294556,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
121,0.76316077,0.32124996185302734,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
122,0.74388105,0.3251500129699707,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
123,0.7668576,0.3212500214576721,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
124,0.7349756,0.3140500485897064,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
125,0.71110237,0.32135000824928284,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
126,0.7322823,0.3237999975681305,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
127,0.70520043,0.3254000246524811,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
128,0.7013449,0.32245001196861267,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
129,0.67477703,0.3212999999523163,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
